# space PC R/W bits address value region; hex values. ROM reads omitted unless --trace-all
A 00043e W16 a00000 0bb8 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0bb7 palette_registers
A 000440 W16 a00002 1908 palette_registers
A 00043e W16 a00000 0bb6 palette_registers
A 000440 W16 a00002 298c palette_registers
A 00043e W16 a00000 0bb5 palette_registers
A 000440 W16 a00002 31ce palette_registers
A 00043e W16 a00000 0bb4 palette_registers
A 000440 W16 a00002 4a94 palette_registers
A 00043e W16 a00000 0bb3 palette_registers
A 000440 W16 a00002 635a palette_registers
A 00043e W16 a00000 0bb2 palette_registers
A 000440 W16 a00002 73de palette_registers
A 00043e W16 a00000 0bb1 palette_registers
A 000440 W16 a00002 7bde palette_registers
A 00043e W16 a00000 0bb0 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0baf palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0bae palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0bad palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0bac palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0bab palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0baa palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0ba9 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0ba8 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0ba7 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0ba6 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0ba5 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0ba4 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0ba3 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0ba2 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0ba1 palette_registers
A 000440 W16 a00002 18c6 palette_registers
A 00043e W16 a00000 0ba0 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0b9f palette_registers
A 000440 W16 a00002 5ad6 palette_registers
A 00043e W16 a00000 0b9e palette_registers
A 000440 W16 a00002 7bde palette_registers
A 00043e W16 a00000 0b9d palette_registers
A 000440 W16 a00002 2906 palette_registers
A 00043e W16 a00000 0b9c palette_registers
A 000440 W16 a00002 398a palette_registers
A 00043e W16 a00000 0b9b palette_registers
A 000440 W16 a00002 70d6 palette_registers
A 00043e W16 a00000 0b9a palette_registers
A 000440 W16 a00002 18dc palette_registers
A 00043e W16 a00000 0b99 palette_registers
A 000440 W16 a00002 3800 palette_registers
A 00043e W16 a00000 0b98 palette_registers
A 000440 W16 a00002 4800 palette_registers
A 00043e W16 a00000 0b97 palette_registers
A 000440 W16 a00002 5800 palette_registers
A 00043e W16 a00000 0b96 palette_registers
A 000440 W16 a00002 7008 palette_registers
A 00043e W16 a00000 0b95 palette_registers
A 000440 W16 a00002 2108 palette_registers
A 00043e W16 a00000 0b94 palette_registers
A 000440 W16 a00002 294a palette_registers
A 00043e W16 a00000 0b93 palette_registers
A 000440 W16 a00002 39ce palette_registers
A 00043e W16 a00000 0b92 palette_registers
A 000440 W16 a00002 4a52 palette_registers
A 00043e W16 a00000 0b91 palette_registers
A 000440 W16 a00002 739c palette_registers
A 00043e W16 a00000 0b90 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0b8f palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0b8e palette_registers
A 000440 W16 a00002 0086 palette_registers
A 00043e W16 a00000 0b8d palette_registers
A 000440 W16 a00002 190a palette_registers
A 00043e W16 a00000 0b8c palette_registers
A 000440 W16 a00002 2150 palette_registers
A 00043e W16 a00000 0b8b palette_registers
A 000440 W16 a00002 2992 palette_registers
A 00043e W16 a00000 0b8a palette_registers
A 000440 W16 a00002 31d4 palette_registers
A 00043e W16 a00000 0b89 palette_registers
A 000440 W16 a00002 18c0 palette_registers
A 00043e W16 a00000 0b88 palette_registers
A 000440 W16 a00002 1100 palette_registers
A 00043e W16 a00000 0b87 palette_registers
A 000440 W16 a00002 1140 palette_registers
A 00043e W16 a00000 0b86 palette_registers
A 000440 W16 a00002 01c4 palette_registers
A 00043e W16 a00000 0b85 palette_registers
A 000440 W16 a00002 1a04 palette_registers
A 00043e W16 a00000 0b84 palette_registers
A 000440 W16 a00002 1a88 palette_registers
A 00043e W16 a00000 0b83 palette_registers
A 000440 W16 a00002 230a palette_registers
A 00043e W16 a00000 0b82 palette_registers
A 000440 W16 a00002 334c palette_registers
A 00043e W16 a00000 0b81 palette_registers
A 000440 W16 a00002 0314 palette_registers
A 00043e W16 a00000 0b80 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0b7f palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0b7e palette_registers
A 000440 W16 a00002 2ad2 palette_registers
A 00043e W16 a00000 0b7d palette_registers
A 000440 W16 a00002 1900 palette_registers
A 00043e W16 a00000 0b7c palette_registers
A 000440 W16 a00002 2144 palette_registers
A 00043e W16 a00000 0b7b palette_registers
A 000440 W16 a00002 2186 palette_registers
A 00043e W16 a00000 0b7a palette_registers
A 000440 W16 a00002 21c6 palette_registers
A 00043e W16 a00000 0b79 palette_registers
A 000440 W16 a00002 2a08 palette_registers
A 00043e W16 a00000 0b78 palette_registers
A 000440 W16 a00002 2a4c palette_registers
A 00043e W16 a00000 0b77 palette_registers
A 000440 W16 a00002 328e palette_registers
A 00043e W16 a00000 0b76 palette_registers
A 000440 W16 a00002 00c8 palette_registers
A 00043e W16 a00000 0b75 palette_registers
A 000440 W16 a00002 110a palette_registers
A 00043e W16 a00000 0b74 palette_registers
A 000440 W16 a00002 194c palette_registers
A 00043e W16 a00000 0b73 palette_registers
A 000440 W16 a00002 218e palette_registers
A 00043e W16 a00000 0b72 palette_registers
A 000440 W16 a00002 29d0 palette_registers
A 00043e W16 a00000 0b71 palette_registers
A 000440 W16 a00002 3212 palette_registers
A 00043e W16 a00000 0b70 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0b6f palette_registers
A 000440 W16 a00002 2106 palette_registers
A 00043e W16 a00000 0b6e palette_registers
A 000440 W16 a00002 2948 palette_registers
A 00043e W16 a00000 0b6d palette_registers
A 000440 W16 a00002 3a56 palette_registers
A 00043e W16 a00000 0b6c palette_registers
A 000440 W16 a00002 4298 palette_registers
A 00043e W16 a00000 0b6b palette_registers
A 000440 W16 a00002 4ada palette_registers
A 00043e W16 a00000 0b6a palette_registers
A 000440 W16 a00002 531a palette_registers
A 00043e W16 a00000 0b69 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0b68 palette_registers
A 000440 W16 a00002 00c6 palette_registers
A 00043e W16 a00000 0b67 palette_registers
A 000440 W16 a00002 10c8 palette_registers
A 00043e W16 a00000 0b66 palette_registers
A 000440 W16 a00002 190a palette_registers
A 00043e W16 a00000 0b65 palette_registers
A 000440 W16 a00002 2192 palette_registers
A 00043e W16 a00000 0b64 palette_registers
A 000440 W16 a00002 3216 palette_registers
A 00043e W16 a00000 0b63 palette_registers
A 000440 W16 a00002 3a58 palette_registers
A 00043e W16 a00000 0b62 palette_registers
A 000440 W16 a00002 4adc palette_registers
A 00043e W16 a00000 0b61 palette_registers
A 000440 W16 a00002 5b5e palette_registers
A 00043e W16 a00000 0b60 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0b5f palette_registers
A 000440 W16 a00002 4210 palette_registers
A 00043e W16 a00000 0b5e palette_registers
A 000440 W16 a00002 4210 palette_registers
A 00043e W16 a00000 0b5d palette_registers
A 000440 W16 a00002 4210 palette_registers
A 00043e W16 a00000 0b5c palette_registers
A 000440 W16 a00002 4210 palette_registers
A 00043e W16 a00000 0b5b palette_registers
A 000440 W16 a00002 4210 palette_registers
A 00043e W16 a00000 0b5a palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0b59 palette_registers
A 000440 W16 a00002 294e palette_registers
A 00043e W16 a00000 0b58 palette_registers
A 000440 W16 a00002 2190 palette_registers
A 00043e W16 a00000 0b57 palette_registers
A 000440 W16 a00002 29d2 palette_registers
A 00043e W16 a00000 0b56 palette_registers
A 000440 W16 a00002 3214 palette_registers
A 00043e W16 a00000 0b55 palette_registers
A 000440 W16 a00002 3a56 palette_registers
A 00043e W16 a00000 0b54 palette_registers
A 000440 W16 a00002 4298 palette_registers
A 00043e W16 a00000 0b53 palette_registers
A 000440 W16 a00002 4ada palette_registers
A 00043e W16 a00000 0b52 palette_registers
A 000440 W16 a00002 531c palette_registers
A 00043e W16 a00000 0b51 palette_registers
A 000440 W16 a00002 5b5e palette_registers
A 00043e W16 a00000 0b50 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0b4f palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0b4e palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0b4d palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0b4c palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0b4b palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0b4a palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0b49 palette_registers
A 000440 W16 a00002 010c palette_registers
A 00043e W16 a00000 0b48 palette_registers
A 000440 W16 a00002 014e palette_registers
A 00043e W16 a00000 0b47 palette_registers
A 000440 W16 a00002 0190 palette_registers
A 00043e W16 a00000 0b46 palette_registers
A 000440 W16 a00002 01d2 palette_registers
A 00043e W16 a00000 0b45 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0b44 palette_registers
A 000440 W16 a00002 0140 palette_registers
A 00043e W16 a00000 0b43 palette_registers
A 000440 W16 a00002 0180 palette_registers
A 00043e W16 a00000 0b42 palette_registers
A 000440 W16 a00002 0200 palette_registers
A 00043e W16 a00000 0b41 palette_registers
A 000440 W16 a00002 0280 palette_registers
A 00043e W16 a00000 0b40 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0b3f palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0b3e palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0b3d palette_registers
A 000440 W16 a00002 3b5e palette_registers
A 00043e W16 a00000 0b3c palette_registers
A 000440 W16 a00002 294a palette_registers
A 00043e W16 a00000 0b3b palette_registers
A 000440 W16 a00002 325a palette_registers
A 00043e W16 a00000 0b3a palette_registers
A 000440 W16 a00002 2192 palette_registers
A 00043e W16 a00000 0b39 palette_registers
A 000440 W16 a00002 0112 palette_registers
A 00043e W16 a00000 0b38 palette_registers
A 000440 W16 a00002 0154 palette_registers
A 00043e W16 a00000 0b37 palette_registers
A 000440 W16 a00002 00ca palette_registers
A 00043e W16 a00000 0b36 palette_registers
A 000440 W16 a00002 2992 palette_registers
A 00043e W16 a00000 0b35 palette_registers
A 000440 W16 a00002 010e palette_registers
A 00043e W16 a00000 0b34 palette_registers
A 000440 W16 a00002 1950 palette_registers
A 00043e W16 a00000 0b33 palette_registers
A 000440 W16 a00002 00cc palette_registers
A 00043e W16 a00000 0b32 palette_registers
A 000440 W16 a00002 29d4 palette_registers
A 00043e W16 a00000 0b31 palette_registers
A 000440 W16 a00002 2a16 palette_registers
A 00043e W16 a00000 0b30 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0b2f palette_registers
A 000440 W16 a00002 008a palette_registers
A 00043e W16 a00000 0b2e palette_registers
A 000440 W16 a00002 010e palette_registers
A 00043e W16 a00000 0b2d palette_registers
A 000440 W16 a00002 1952 palette_registers
A 00043e W16 a00000 0b2c palette_registers
A 000440 W16 a00002 31d6 palette_registers
A 00043e W16 a00000 0b2b palette_registers
A 000440 W16 a00002 30c0 palette_registers
A 00043e W16 a00000 0b2a palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0b29 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0b28 palette_registers
A 000440 W16 a00002 11d0 palette_registers
A 00043e W16 a00000 0b27 palette_registers
A 000440 W16 a00002 2254 palette_registers
A 00043e W16 a00000 0b26 palette_registers
A 000440 W16 a00002 32d8 palette_registers
A 00043e W16 a00000 0b25 palette_registers
A 000440 W16 a00002 0100 palette_registers
A 00043e W16 a00000 0b24 palette_registers
A 000440 W16 a00002 1186 palette_registers
A 00043e W16 a00000 0b23 palette_registers
A 000440 W16 a00002 1a0c palette_registers
A 00043e W16 a00000 0b22 palette_registers
A 000440 W16 a00002 2a8e palette_registers
A 00043e W16 a00000 0b21 palette_registers
A 000440 W16 a00002 4352 palette_registers
A 00043e W16 a00000 0b20 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0b1f palette_registers
A 000440 W16 a00002 0008 palette_registers
A 00043e W16 a00000 0b1e palette_registers
A 000440 W16 a00002 108c palette_registers
A 00043e W16 a00000 0b1d palette_registers
A 000440 W16 a00002 2110 palette_registers
A 00043e W16 a00000 0b1c palette_registers
A 000440 W16 a00002 3192 palette_registers
A 00043e W16 a00000 0b1b palette_registers
A 000440 W16 a00002 4216 palette_registers
A 00043e W16 a00000 0b1a palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0b19 palette_registers
A 000440 W16 a00002 3100 palette_registers
A 00043e W16 a00000 0b18 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0b17 palette_registers
A 000440 W16 a00002 018c palette_registers
A 00043e W16 a00000 0b16 palette_registers
A 000440 W16 a00002 22da palette_registers
A 00043e W16 a00000 0b15 palette_registers
A 000440 W16 a00002 0100 palette_registers
A 00043e W16 a00000 0b14 palette_registers
A 000440 W16 a00002 1186 palette_registers
A 00043e W16 a00000 0b13 palette_registers
A 000440 W16 a00002 1a0c palette_registers
A 00043e W16 a00000 0b12 palette_registers
A 000440 W16 a00002 2a8e palette_registers
A 00043e W16 a00000 0b11 palette_registers
A 000440 W16 a00002 5358 palette_registers
A 00043e W16 a00000 0b10 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0b0f palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0b0e palette_registers
A 000440 W16 a00002 0106 palette_registers
A 00043e W16 a00000 0b0d palette_registers
A 000440 W16 a00002 198a palette_registers
A 00043e W16 a00000 0b0c palette_registers
A 000440 W16 a00002 2a0e palette_registers
A 00043e W16 a00000 0b0b palette_registers
A 000440 W16 a00002 2a92 palette_registers
A 00043e W16 a00000 0b0a palette_registers
A 000440 W16 a00002 3b16 palette_registers
A 00043e W16 a00000 0b09 palette_registers
A 000440 W16 a00002 1906 palette_registers
A 00043e W16 a00000 0b08 palette_registers
A 000440 W16 a00002 2148 palette_registers
A 00043e W16 a00000 0b07 palette_registers
A 000440 W16 a00002 298a palette_registers
A 00043e W16 a00000 0b06 palette_registers
A 000440 W16 a00002 31cc palette_registers
A 00043e W16 a00000 0b05 palette_registers
A 000440 W16 a00002 3a4e palette_registers
A 00043e W16 a00000 0b04 palette_registers
A 000440 W16 a00002 3a90 palette_registers
A 00043e W16 a00000 0b03 palette_registers
A 000440 W16 a00002 42d2 palette_registers
A 00043e W16 a00000 0b02 palette_registers
A 000440 W16 a00002 4b14 palette_registers
A 00043e W16 a00000 0b01 palette_registers
A 000440 W16 a00002 4b56 palette_registers
A 00043e W16 a00000 0b00 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0aff palette_registers
A 000440 W16 a00002 4210 palette_registers
A 00043e W16 a00000 0afe palette_registers
A 000440 W16 a00002 0210 palette_registers
A 00043e W16 a00000 0afd palette_registers
A 000440 W16 a00002 4010 palette_registers
A 00043e W16 a00000 0afc palette_registers
A 000440 W16 a00002 4000 palette_registers
A 00043e W16 a00000 0afb palette_registers
A 000440 W16 a00002 4140 palette_registers
A 00043e W16 a00000 0afa palette_registers
A 000440 W16 a00002 4200 palette_registers
A 00043e W16 a00000 0af9 palette_registers
A 000440 W16 a00002 418a palette_registers
A 00043e W16 a00000 0af8 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0af7 palette_registers
A 000440 W16 a00002 781e palette_registers
A 00043e W16 a00000 0af6 palette_registers
A 000440 W16 a00002 4210 palette_registers
A 00043e W16 a00000 0af5 palette_registers
A 000440 W16 a00002 4a52 palette_registers
A 00043e W16 a00000 0af4 palette_registers
A 000440 W16 a00002 5294 palette_registers
A 00043e W16 a00000 0af3 palette_registers
A 000440 W16 a00002 5ad6 palette_registers
A 00043e W16 a00000 0af2 palette_registers
A 000440 W16 a00002 6318 palette_registers
A 00043e W16 a00000 0af1 palette_registers
A 000440 W16 a00002 7b5c palette_registers
A 00043e W16 a00000 0af0 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0aef palette_registers
A 000440 W16 a00002 0212 palette_registers
A 00043e W16 a00000 0aee palette_registers
A 000440 W16 a00002 0296 palette_registers
A 00043e W16 a00000 0aed palette_registers
A 000440 W16 a00002 6b9e palette_registers
A 00043e W16 a00000 0aec palette_registers
A 000440 W16 a00002 398a palette_registers
A 00043e W16 a00000 0aeb palette_registers
A 000440 W16 a00002 51cc palette_registers
A 00043e W16 a00000 0aea palette_registers
A 000440 W16 a00002 6250 palette_registers
